order_date,category,cat_revenue,unique_buyers,whale_interactions,newbie_interactions,loyal_interactions
2012-07-04,Casual,116436.2,5,0,5,0
2012-07-04,GenZ,47319.06,7,0,7,0
2012-07-04,Outdoor,358947.83,30,0,41,0
2012-07-04,Streetwear,4600844.85,120,0,121,0
2012-07-05,Casual,38829.92,1,0,1,0
2012-07-05,GenZ,59801.119999999995,7,0,7,0
2012-07-05,Outdoor,200817.52,17,0,23,0
2012-07-05,Streetwear,2452324.89,72,0,72,0
2012-07-06,Casual,86471.16,3,0,3,0
2012-07-06,GenZ,28441.71,5,0,5,0
2012-07-06,Outdoor,163769.08,16,0,21,0
2012-07-06,Streetwear,2775347.47,69,0,70,0
2012-07-07,Casual,24648.68,1,0,1,0
2012-07-07,GenZ,9769.32,1,0,1,0
2012-07-07,Outdoor,81388.95,12,0,14,0
2012-07-07,Streetwear,2552123.99,59,0,59,0
2012-07-08,GenZ,28513.13,6,0,6,0
2012-07-08,Outdoor,171002.44,15,0,21,0
2012-07-08,Streetwear,2161336.33,66,0,67,0
2012-07-09,Casual,15765.420000000002,1,0,1,0
2012-07-09,GenZ,76630.03,9,0,9,0
2012-07-09,Outdoor,457008.17,41,0,60,0
2012-07-09,Streetwear,2998982.84,86,0,87,0
2012-07-10,Casual,88750.23999999999,5,0,5,0
2012-07-10,GenZ,53286.75,5,0,5,0
2012-07-10,Outdoor,470628.83,37,0,55,0
2012-07-10,Streetwear,4622272.8,136,0,138,0
2012-07-11,Casual,99980.72,8,0,8,0
2012-07-11,GenZ,62346.84,9,0,9,0
2012-07-11,Outdoor,777801.63,67,0,87,0
2012-07-11,Streetwear,4642755.59,137,0,139,0
2012-07-12,Casual,86511.85,4,0,4,0
2012-07-12,GenZ,112477.23,17,0,18,0
2012-07-12,Outdoor,772225.66,70,0,96,0
2012-07-12,Streetwear,4763417.28,154,0,157,0
2012-07-13,Casual,36823.4,2,0,2,0
2012-07-13,GenZ,81412.3,14,0,14,0
2012-07-13,Outdoor,621541.29,52,0,71,0
2012-07-13,Streetwear,4569734.72,132,0,136,0
2012-07-14,Casual,44983.479999999996,3,0,3,0
2012-07-14,GenZ,96758.37,12,0,12,0
2012-07-14,Outdoor,488345.37,42,0,57,0
2012-07-14,Streetwear,3190744.19,99,0,101,0
2012-07-15,Casual,64970.43,4,0,4,0
