date,total_orders,unique_buyers,Revenue,sessions,visitors,AOV
2012-07-04,162,161,5123547.94,,,31626.83913580247
2012-07-05,97,97,2751773.45,,,28368.798453608248
2012-07-06,93,93,3054029.42,,,32839.02602150538
2012-07-07,73,73,2667930.94,,,36546.99917808219
2012-07-08,88,87,2360851.9,,,26827.8625
2012-07-09,137,137,3548386.46,,,25900.631094890512
2012-07-10,183,182,5234938.62,,,28606.221967213114
2012-07-11,221,221,5582884.78,,,25261.922081447967
2012-07-12,246,243,5734632.02,,,23311.512276422764
2012-07-13,201,200,5309511.71,,,26415.48114427861
2012-07-14,157,154,3820831.41,,,24336.505796178346
2012-07-15,149,148,3948841.28,,,26502.290469798656
2012-07-16,140,139,3503801.49,,,25027.1535
2012-07-17,185,183,4476729.49,,,24198.537783783784
2012-07-18,225,223,5184141.46,,,23040.628711111112
2012-07-19,263,259,6421487.11,,,24416.30079847909
2012-07-20,231,230,5171470.46,,,22387.318008658007
2012-07-21,171,170,3442157.02,,,20129.57321637427
2012-07-22,140,139,3117550.57,,,22268.218357142858
2012-07-23,206,203,4730517.69,,,22963.67810679612
2012-07-24,186,185,4096496.12,,,22024.172688172042
2012-07-25,224,221,5246688.08,,,23422.714642857143
2012-07-26,273,270,5851965.06,,,21435.769450549447
2012-07-27,212,211,5156699.45,,,24324.054009433963
2012-07-28,176,176,4326956.84,,,24584.982045454544
2012-07-29,206,205,4804199.65,,,23321.357524271847
2012-07-30,268,264,6586130.95,,,24575.115485074628
2012-07-31,381,377,9151622.14,,,24020.005616797902
2012-08-01,360,357,9148357.3,,,25412.103611111113
2012-08-02,413,410,9692427.0,,,23468.346246973364
2012-08-03,353,351,9297269.95,,,26337.875212464587
2012-08-04,245,243,6384195.03,,,26057.938897959186
2012-08-05,76,76,2359224.19,,,31042.42355263158
2012-08-06,114,114,3630003.7,,,31842.137719298247
2012-08-07,93,91,2240253.44,,,24088.746666666666
2012-08-08,129,128,2617553.36,,,20291.111317829458
2012-08-09,156,156,4478691.52,,,28709.561025641022
2012-08-10,158,158,3412496.65,,,21598.080063291138
2012-08-11,110,110,2732604.35,,,24841.857727272727
2012-08-12,138,137,3388181.83,,,24552.04224637681
2012-08-13,153,153,3928170.01,,,25674.313790849672
2012-08-14,151,151,4033912.16,,,26714.650066225167
2012-08-15,162,161,3780293.26,,,23335.143580246913
2012-08-16,212,209,5249978.18,,,24764.048018867925
2012-08-17,158,158,4089284.05,,,25881.544620253164
2012-08-18,135,135,3450015.71,,,25555.671925925926
2012-08-19,158,156,3904300.93,,,24710.765379746837
2012-08-20,158,157,3541027.32,,,22411.565316455693
2012-08-21,172,172,4147483.23,,,24113.274593023256
2012-08-22,185,184,4597682.81,,,24852.33951351351
2012-08-23,231,228,5478869.55,,,23718.05
2012-08-24,196,195,4637850.57,,,23662.502908163267
2012-08-25,141,138,3589566.28,,,25457.91687943262
2012-08-26,164,161,4280204.53,,,26098.8081097561
2012-08-27,137,136,3038895.84,,,22181.721459854012
2012-08-28,391,390,9508676.62,,,24318.866035805626
2012-08-29,382,377,9260558.32,,,24242.299267015707
2012-08-30,403,400,10086534.1,,,25028.6205955335
2012-08-31,393,389,9104678.52,,,23167.120916030533
2012-09-01,341,337,8560208.92,,,25103.251964809384
2012-09-02,106,105,2587099.44,,,24406.598490566037
2012-09-03,147,147,3865505.01,,,26295.95244897959
2012-09-04,147,147,3645749.44,,,24801.016598639457
2012-09-05,87,87,2398185.51,,,27565.35068965517
2012-09-06,119,119,2858227.37,,,24018.717394957985
2012-09-07,139,136,3282753.8,,,23616.93381294964
2012-09-08,130,130,3666204.89,,,28201.576076923076
2012-09-09,170,169,4458501.42,,,26226.47894117647
2012-09-10,186,185,4548962.79,,,24456.789193548386
2012-09-11,129,128,4021565.55,,,31174.926744186047
2012-09-12,108,108,3335978.29,,,30888.68787037037
2012-09-13,116,115,2609609.29,,,22496.63181034483
2012-09-14,136,136,3729228.43,,,27420.797279411767
2012-09-15,131,128,3605125.64,,,27520.043053435114
2012-09-16,174,173,4452012.44,,,25586.2783908046
2012-09-17,206,206,4811788.67,,,23358.197427184467
2012-09-18,181,180,5078878.07,,,28060.099834254146
2012-09-19,147,147,3680241.62,,,25035.657278911567
2012-09-20,159,158,3763143.75,,,23667.57075471698
2012-09-21,148,147,3943768.14,,,26647.082027027027
2012-09-22,161,158,3872374.03,,,24052.01260869565
2012-09-23,178,177,4118299.54,,,23136.514269662923
2012-09-24,244,243,5733263.53,,,23496.98168032787
2012-09-25,244,244,5639897.53,,,23114.334139344264
2012-09-26,200,198,4592282.59,,,22961.412949999998
2012-09-27,349,344,7556892.66,,,21652.987564469913
2012-09-28,216,216,4892631.14,,,22651.070092592592
2012-09-29,224,223,5304374.46,,,23680.243125
2012-09-30,196,193,4694379.86,,,23950.917653061228
2012-10-01,205,203,4752532.1,,,23183.083414634144
2012-10-02,104,104,3233135.78,,,31087.844038461535
2012-10-03,108,107,3515132.03,,,32547.518796296295
2012-10-04,77,75,2398137.74,,,31144.645974025978
2012-10-05,101,100,2665953.06,,,26395.574851485148
2012-10-06,80,80,2205266.94,,,27565.83675
2012-10-07,110,108,3389598.07,,,30814.527909090906
2012-10-08,142,139,4037039.45,,,28429.855281690143
2012-10-09,167,164,4298675.76,,,25740.57341317365
2012-10-10,131,131,3548716.67,,,27089.440229007632
2012-10-11,109,107,3421490.39,,,31389.82009174312
2012-10-12,94,94,2380119.87,,,25320.42414893617
2012-10-13,125,124,2798011.44,,,22384.091519999998
2012-10-14,116,116,3055629.78,,,26341.636034482755
2012-10-15,140,139,3234517.3,,,23103.695
2012-10-16,152,149,3549298.21,,,23350.646118421053
2012-10-17,134,133,3818048.0,,,28492.89552238806
2012-10-18,109,107,2909728.89,,,26694.7604587156
2012-10-19,99,98,2877379.81,,,29064.442525252525
2012-10-20,106,106,3242557.3,,,30590.163207547168
2012-10-21,114,112,2395609.91,,,21014.12201754386
2012-10-22,142,142,3596158.34,,,25325.058732394366
2012-10-23,170,169,3999141.88,,,23524.363999999998
2012-10-24,153,151,3829179.99,,,25027.32019607843
2012-10-25,125,125,3104460.52,,,24835.68416
2012-10-26,91,91,2138927.17,,,23504.694175824174
2012-10-27,122,121,2816872.34,,,23089.117540983607
2012-10-28,259,256,6259883.83,,,24169.43563706564
2012-10-29,236,232,5424539.1,,,22985.335169491525
2012-10-30,250,249,6347274.89,,,25389.09956
2012-10-31,214,212,4942677.89,,,23096.625654205607
2012-11-01,201,198,5536748.35,,,27546.011691542288
2012-11-02,67,67,1936831.08,,,28907.92656716418
2012-11-03,84,84,2911848.61,,,34664.8644047619
2012-11-04,85,85,2658832.75,,,31280.38529411765
2012-11-05,129,129,3332448.46,,,25832.933798449612
2012-11-06,109,109,3439495.01,,,31555.000091743117
2012-11-07,69,68,1969815.91,,,28548.056666666664
2012-11-08,88,87,2197716.17,,,24974.047386363636
2012-11-09,107,106,2920310.06,,,27292.61738317757
2012-11-10,122,121,3124993.27,,,25614.69893442623
2012-11-11,141,136,3484874.3,,,24715.420567375884
2012-11-12,172,171,3806978.06,,,22133.593372093022
2012-11-13,149,148,3848498.06,,,25828.846040268458
2012-11-14,133,132,3213518.64,,,24161.794285714288
2012-11-15,138,136,2996358.37,,,21712.741811594206
2012-11-16,117,116,2851503.98,,,24371.82888888889
2012-11-17,126,123,3258479.4,,,25860.94761904762
