iter	Passed	Remaining
0	7	7357
1	11	5556
2	14	4857
3	18	4528
4	21	4329
5	25	4209
6	29	4138
7	32	4000
8	35	3906
9	38	3815
10	42	3818
11	45	3764
12	49	3734
13	52	3727
14	56	3681
15	59	3689
16	63	3672
17	66	3638
18	69	3599
19	72	3562
20	76	3559
21	79	3542
22	82	3516
23	85	3490
24	89	3496
25	93	3516
26	96	3490
27	99	3463
28	100	3380
29	104	3368
30	108	3398
31	112	3399
32	115	3385
33	118	3371
34	122	3383
35	125	3363
36	128	3346
37	131	3329
38	134	3317
39	138	3326
40	141	3316
41	144	3307
42	148	3294
43	151	3285
44	155	3308
45	159	3303
46	162	3293
47	165	3284
48	169	3285
49	172	3284
50	175	3272
51	178	3261
52	182	3254
53	187	3276
54	190	3275
55	193	3266
56	197	3259
57	200	3255
58	203	3251
59	206	3242
60	210	3238
61	213	3234
62	218	3245
63	221	3235
64	224	3226
65	227	3218
66	230	3208
67	234	3220
68	238	3216
69	241	3212
70	244	3203
71	248	3202
72	252	3204
73	255	3203
74	259	3195
75	262	3187
76	266	3191
77	269	3186
78	273	3183
79	276	3175
80	279	3169
81	282	3165
82	285	3157
83	288	3148
84	291	3139
85	294	3130
86	298	3131
87	301	3126
88	305	3123
89	308	3115
90	311	3111
91	315	3109
92	317	3101
93	321	3094
94	324	3086
95	327	3084
96	332	3093
97	335	3088
98	338	3080
99	341	3073
100	345	3073
101	348	3065
102	350	3056
103	353	3046
104	356	3038
105	360	3040
106	363	3034
107	366	3028
108	369	3022
109	373	3018
110	377	3022
111	380	3016
112	383	3010
113	387	3008
114	390	3004
115	394	3006
116	397	3001
117	401	2998
118	404	2994
119	408	2996
120	411	2991
121	414	2985
122	417	2979
123	420	2973
124	424	2973
125	427	2968
126	431	2966
127	434	2962
128	437	2956
129	441	2954
130	444	2948
131	447	2943
132	450	2936
133	453	2931
134	457	2933
135	461	2933
136	464	2928
137	468	2923
138	472	2924
139	475	2922
140	478	2916
141	481	2910
142	484	2903
143	488	2906
144	492	2902
145	495	2897
146	498	2892
147	501	2886
148	505	2886
149	508	2881
150	512	2879
151	515	2876
152	519	2878
153	523	2876
154	527	2875
155	530	2872
156	535	2874
157	539	2875
158	543	2876
159	548	2879
160	565	2947
161	569	2948
162	573	2947
163	578	2949
164	584	2959
165	588	2959
166	592	2955
167	596	2952
168	601	2958
169	605	2954
170	609	2952
171	612	2949
172	617	2953
173	621	2950
174	625	2947
175	628	2942
176	633	2944
177	636	2939
178	638	2926
179	641	2924
180	645	2921
181	649	2920
182	653	2916
183	656	2912
184	659	2906
185	663	2904
186	666	2898
187	669	2892
188	672	2886
189	675	2879
190	678	2872
191	681	2869
192	685	2865
193	688	2861
194	690	2851
195	693	2845
196	698	2845
197	701	2840
198	704	2835
199	707	2830
200	711	2826
201	714	2823
202	717	2818
203	720	2812
204	723	2807
205	727	2805
206	731	2801
207	734	2795
208	737	2789
209	740	2784
210	744	2782
211	747	2776
212	749	2770
213	752	2764
214	755	2759
215	759	2757
216	762	2752
217	765	2747
218	768	2742
219	772	2737
220	775	2734
221	778	2729
222	782	2725
223	785	2720
224	788	2716
225	792	2715
226	795	2710
227	798	2704
228	801	2699
229	805	2695
230	808	2693
231	812	2689
232	816	2686
233	819	2681
234	822	2678
235	826	2674
236	829	2669
237	832	2664
238	834	2658
239	838	2654
240	841	2650
241	844	2645
242	848	2642
243	851	2638
244	855	2637
245	859	2634
246	862	2630
247	865	2624
248	868	2619
249	872	2616
250	875	2611
251	878	2606
252	880	2601
253	883	2595
254	887	2593
255	890	2588
256	893	2583
257	896	2578
258	899	2572
259	902	2568
260	905	2564
261	909	2561
262	912	2557
263	915	2552
264	919	2550
265	922	2546
266	925	2541
267	928	2536
268	931	2531
269	935	2528
270	938	2524
271	941	2519
272	944	2514
273	947	2510
