iter	Tweedie:variance_power=1.35
0	11997227.74
1	11759666.97
2	11526810.22
3	11298564.36
4	11074838.08
5	10855541.89
6	10640588.07
7	10429890.63
8	10223365.29
9	10020929.44
10	9822502.099
11	9628003.898
12	9437357.033
13	9250485.246
14	9067313.779
15	8887769.371
16	8711780.194
17	8539275.856
18	8370187.355
19	8204447.042
20	8041988.627
21	7882747.125
22	7726658.835
23	7573661.321
24	7423693.383
25	7276695.032
26	7132607.469
27	6991373.055
28	6852935.295
29	6717238.815
30	6584229.331
31	6453853.643
32	6326059.593
33	6200796.069
34	6078012.96
35	5957661.153
36	5839692.504
37	5724059.83
38	5610716.877
39	5499618.299
40	5390719.659
41	5283977.398
42	5179348.82
43	5076792.07
44	4976266.126
45	4877730.778
46	4781146.609
47	4686474.99
48	4593678.048
49	4502718.665
50	4413560.454
51	4326167.756
52	4240505.615
53	4156539.758
54	4074236.606
55	3993563.236
56	3914487.376
57	3836977.403
58	3761002.305
59	3686531.698
60	3613535.79
61	3541985.388
62	3471851.869
63	3403107.179
64	3335723.831
65	3269674.857
66	3204933.846
67	3141474.902
68	3079272.64
69	3018302.185
70	2958539.149
71	2899959.626
72	2842540.188
73	2786257.871
74	2731090.159
75	2677014.985
76	2624010.723
77	2572056.176
78	2521130.561
79	2471213.514
80	2422285.069
81	2374325.65
82	2327316.084
83	2281237.567
84	2236071.67
85	2191800.332
86	2148405.847
87	2105870.859
88	2064178.358
89	2023311.671
90	1983254.456
91	1943990.693
92	1905504.682
93	1867781.032
94	1830804.657
95	1794560.773
96	1759034.887
97	1724212.791
98	1690080.565
99	1656624.566
100	1623831.412
101	1591687.989
102	1560181.449
103	1529299.194
104	1499028.881
105	1469358.407
106	1440275.913
107	1411769.772
108	1383828.591
109	1356441.202
110	1329596.657
111	1303284.227
112	1277493.402
113	1252213.87
114	1227435.533
115	1203148.487
116	1179343.031
117	1156009.654
118	1133139.031
119	1110722.028
120	1088749.687
121	1067213.24
122	1046104.086
123	1025413.794
124	1005134.101
125	985256.9099
126	965774.285
127	946678.4542
128	927961.7958
129	909616.8384
130	891636.2724
131	874012.9089
132	856739.7288
133	839809.8434
134	823216.497
135	806953.0779
136	791013.1058
137	775390.2257
138	760078.2148
139	745070.9777
140	730362.533
141	715947.0242
142	701818.7187
143	687971.9987
144	674401.3501
145	661101.3729
146	648066.7889
147	635292.4133
148	622773.1759
149	610504.0996
150	598480.3201
151	586697.0619
152	575149.6601
153	563833.5402
154	552744.2011
155	541877.2723
156	531228.4399
157	520793.502
158	510568.3391
159	500548.8931
160	490731.2187
161	481111.439
162	471685.7752
163	462450.4979
164	453401.9825
165	444536.6828
166	435851.0834
167	427341.7891
168	419005.4822
169	410838.8868
170	402838.8397
171	395002.1723
172	387325.7648
173	379806.6918
174	372442.1069
175	365229.0241
176	358164.6659
177	351246.248
178	344471.227
179	337836.8225
180	331340.5482
181	324979.9462
182	318752.3854
183	312655.7281
184	306687.3318
185	300845.0018
186	295126.7738
187	289530.1513
188	284053.0412
189	278693.2522
190	273449.1775
191	268318.3458
192	263298.9074
193	258389.0793
194	253586.9462
195	248890.943
196	244298.5514
197	239808.4278
198	235419.1152
199	231128.5252
200	226935.3775
201	222837.7097
202	218834.119
203	214922.9671
204	211103.2114
205	207373.373
206	203730.6704
207	200174.9985
208	196704.152
209	193317.7333
210	190013.8693
211	186792.1512
212	183648.2264
213	180585.993
214	177598.1771
215	174687.0825
216	171851.4942
217	169090.0008
218	166400.3924
219	163781.298
220	161230.7594
221	158750.0429
222	156336.5202
223	153989.1409
224	151706.9945
225	149488.9323
226	147336.1559
227	145243.6354
228	143214.0945
229	141240.4255
230	139324.0835
231	137466.6784
232	135665.7621
233	133920.0537
234	132229.6224
235	130590.8114
236	129001.6519
237	127462.0987
238	125976.0977
239	124533.4272
240	123137.8294
241	121792.896
242	120490.4813
243	119231.9258
244	118013.2542
245	116841.5616
246	115705.8295
247	114609.9346
248	113553.3524
249	112532.9989
250	111549.3753
251	110599.3935
252	109687.6145
253	108810.4131
254	107960.7101
255	107141.4828
256	106353.5134
257	105594.898
258	104867.0715
259	104166.1432
260	103491.4224
261	102842.1032
262	102217.3627
263	101615.3266
264	101036.4277
265	100480.6409
266	99945.15476
267	99430.21064
268	98935.9375
269	98461.19188
270	98000.62853
271	97564.30742
272	97141.96608
273	96740.19562
274	96354.93302
275	95983.08166
276	95624.24639
277	95281.23002
278	94951.78243
279	94635.29821
280	94331.58118
281	94041.14252
282	93763.81392
283	93494.84618
284	93236.67741
285	92989.06072
286	92753.52678
287	92526.48253
288	92308.42472
289	92097.55604
290	91897.46019
291	91704.51046
292	91520.38264
293	91343.09629
294	91172.29726
295	91008.33203
296	90851.72748
297	90703.16421
298	90558.13916
299	90417.62929
300	90285.72526
301	90158.12984
302	90033.07562
303	89913.62576
304	89801.43641
305	89694.52947
306	89591.72598
307	89491.14291
308	89395.86404
309	89303.39599
310	89216.9289
311	89133.84859
312	89052.59159
313	88976.29807
314	88900.69092
315	88829.54082
316	88762.80101
317	88697.23053
318	88631.52276
319	88568.87117
320	88510.2803
321	88454.07726
322	88400.50023
323	88349.62431
324	88299.85567
325	88252.75258
326	88207.45315
327	88161.59934
328	88119.92864
329	88077.20514
330	88038.58034
331	87999.35466
332	87961.96638
333	87927.88558
334	87895.75575
335	87864.22784
336	87834.23894
337	87805.22942
338	87776.67512
339	87748.85386
340	87722.55053
341	87696.72522
342	87672.32175
343	87649.55733
344	87627.37365
345	87606.26447
346	87585.36622
347	87565.77372
348	87546.95617
349	87528.2692
350	87508.66599
351	87491.08563
352	87474.44417
353	87457.57646
354	87441.15217
355	87425.47307
356	87410.88616
357	87396.73595
358	87384.86087
359	87371.99318
360	87360.14846
361	87348.54055
362	87337.04192
363	87324.71416
364	87313.30992
365	87303.14806
366	87292.12832
367	87282.70026
368	87272.76903
369	87263.36709
370	87254.67199
371	87246.11234
372	87237.58142
373	87228.63092
374	87220.76478
375	87213.63493
376	87206.18588
377	87199.4186
378	87192.89387
379	87186.05604
380	87179.53747
381	87173.56494
382	87167.60247
383	87161.9208
384	87156.0659
385	87150.93718
386	87145.72031
387	87140.78442
388	87135.85681
389	87131.49816
390	87126.89796
391	87122.70054
392	87117.68563
393	87113.9372
394	87109.77944
395	87106.01143
396	87102.28223
397	87098.61185
398	87095.26334
399	87091.91059
400	87088.72176
401	87085.39768
402	87081.77118
403	87078.68756
404	87075.81585
405	87072.90464
406	87070.02881
407	87067.31456
408	87064.45709
409	87061.55714
410	87059.18188
411	87056.37084
412	87053.53591
413	87050.94192
414	87048.53633
415	87046.34685
416	87044.59795
417	87041.92585
418	87039.75815
419	87037.76892
420	87035.25789
421	87032.60331
422	87030.83655
423	87028.74493
424	87026.75308
425	87024.44339
426	87022.66014
427	87020.55962
428	87018.94749
429	87017.03959
430	87015.29717
431	87013.74709
432	87012.39785
433	87011.03404
434	87009.62716
435	87007.79527
436	87005.93398
437	87004.04045
438	87002.83361
439	87001.11683
440	86999.37484
441	86997.52216
442	86996.12569
443	86994.63957
444	86993.41171
445	86992.24791
446	86991.12839
447	86989.56347
448	86988.32519
449	86986.40297
450	86985.01603
451	86983.50151
452	86982.5502
453	86981.54351
454	86980.03466
455	86978.75893
456	86977.3604
457	86976.13979
458	86974.68644
459	86973.78019
460	86972.60196
461	86971.54005
462	86970.58321
463	86969.63959
464	86968.75313
465	86967.65379
466	86966.81492
467	86965.46124
468	86964.78421
469	86963.32278
470	86962.26884
471	86961.348
472	86959.91885
473	86959.03139
474	86958.05094
475	86956.88816
476	86956.26129
477	86955.43077
478	86954.34027
479	86953.20547
480	86952.21576
481	86951.56312
482	86950.32724
483	86949.66422
484	86948.59183
485	86947.52028
486	86946.89778
487	86945.76624
488	86945.13669
489	86944.49703
490	86943.59149
491	86942.65662
492	86941.66377
493	86940.77205
494	86939.95446
495	86939.24241
496	86938.67038
497	86938.06957
498	86937.20805
499	86936.6087
500	86935.93644
501	86935.32538
502	86934.38094
503	86933.78293
504	86933.23678
505	86932.54943
506	86931.78145
507	86930.95962
508	86929.89446
509	86929.04252
510	86928.30354
511	86927.58932
512	86926.92086
513	86926.29508
514	86925.49481
515	86924.65999
516	86924.14524
517	86923.60254
518	86922.99393
519	86922.14306
520	86921.52997
521	86920.90813
522	86920.13123
523	86919.40631
524	86918.49241
525	86917.7332
526	86917.28632
527	86916.66795
528	86916.06854
529	86915.37604
530	86914.80415
531	86914.26474
532	86913.61665
533	86912.75137
534	86912.15096
535	86911.46402
536	86910.98115
537	86910.10077
538	86909.22048
539	86908.40933
540	86907.55014
541	86906.99403
542	86906.37823
543	86905.80672
544	86905.14614
545	86904.24528
546	86903.69801
547	86902.99052
548	86902.50585
549	86901.89456
550	86901.20123
551	86900.55944
552	86899.95603
553	86899.39736
554	86898.8646
555	86898.36238
556	86897.54367
557	86896.86279
558	86896.27252
559	86895.69252
560	86894.91355
561	86894.44624
