iter	Passed	Remaining
0	11	10678
1	21	9511
2	30	9139
3	41	9246
4	62	11264
5	71	10711
6	82	10541
7	91	10249
8	101	10025
9	110	9836
10	119	9651
11	128	9529
12	139	9505
13	148	9416
14	157	9304
15	166	9211
16	176	9169
17	185	9097
18	198	9192
19	207	9118
20	216	9062
21	225	9007
22	234	8943
23	243	8901
24	252	8851
25	261	8801
26	270	8761
27	279	8716
28	290	8725
29	299	8678
30	308	8647
31	317	8600
32	326	8569
33	334	8527
34	344	8505
35	354	8506
36	369	8609
37	381	8646
38	395	8737
39	415	8932
40	436	9139
41	448	9172
42	461	9197
43	472	9201
44	484	9211
45	495	9202
46	506	9190
47	528	9380
48	548	9522
49	557	9471
50	567	9452
51	579	9451
52	590	9432
53	604	9467
54	621	9542
55	631	9514
56	640	9470
57	649	9429
58	658	9383
59	668	9358
60	679	9352
61	689	9319
62	698	9278
63	707	9245
64	717	9212
65	727	9192
66	736	9154
67	745	9119
68	754	9086
69	763	9053
70	772	9022
71	781	8992
72	791	8963
73	800	8937
74	812	8933
75	825	8946
76	833	8911
77	843	8886
78	852	8857
79	861	8829
80	873	8829
81	882	8802
82	891	8771
83	900	8743
84	909	8717
85	919	8705
86	928	8676
87	937	8646
88	945	8620
89	955	8602
90	965	8579
91	973	8551
92	982	8525
93	991	8499
94	1000	8478
95	1011	8470
96	1029	8524
97	1039	8504
98	1048	8484
99	1059	8476
100	1068	8453
101	1078	8440
102	1089	8426
103	1098	8407
104	1107	8386
105	1119	8383
106	1127	8359
107	1136	8334
108	1145	8311
109	1154	8290
110	1162	8266
111	1173	8257
112	1187	8267
113	1201	8287
114	1211	8268
115	1219	8245
116	1229	8226
117	1238	8208
118	1247	8186
119	1256	8166
120	1265	8148
121	1275	8133
122	1284	8115
123	1293	8094
124	1302	8074
125	1311	8054
126	1320	8039
127	1329	8019
128	1338	8000
129	1347	7981
130	1359	7980
131	1386	8067
132	1403	8092
133	1412	8074
134	1421	8056
135	1431	8040
136	1440	8019
137	1448	8000
138	1457	7982
139	1467	7963
140	1478	7958
141	1487	7941
142	1496	7922
143	1505	7904
144	1524	7939
145	1538	7943
146	1549	7938
147	1558	7920
148	1568	7903
149	1577	7886
150	1586	7870
151	1613	7941
152	1622	7922
153	1631	7903
154	1640	7885
155	1649	7867
156	1658	7849
157	1667	7831
158	1678	7822
159	1690	7817
160	1699	7801
161	1709	7785
162	1718	7768
163	1732	7774
164	1744	7771
165	1761	7786
166	1776	7798
167	1793	7813
168	1808	7823
169	1818	7807
170	1827	7789
171	1836	7772
172	1845	7757
173	1855	7741
174	1864	7723
175	1873	7706
176	1882	7689
177	1891	7671
178	1901	7660
179	1919	7679
180	1930	7670
181	1940	7655
182	1949	7638
183	1958	7621
184	1968	7606
185	1977	7591
186	1999	7623
187	2009	7611
188	2019	7595
189	2027	7578
190	2037	7564
191	2047	7551
192	2056	7534
193	2066	7519
194	2075	7502
195	2084	7488
196	2093	7471
197	2102	7455
198	2112	7441
199	2124	7434
200	2141	7446
201	2152	7439
202	2165	7435
203	2180	7438
204	2189	7422
205	2198	7407
206	2207	7391
207	2217	7378
208	2226	7360
209	2235	7345
210	2246	7334
211	2261	7339
212	2283	7363
213	2301	7378
214	2320	7394
215	2342	7416
216	2368	7455
217	2387	7468
218	2405	7479
219	2414	7462
220	2424	7449
221	2437	7443
222	2446	7426
223	2454	7408
224	2471	7414
225	2491	7430
226	2523	7480
227	2541	7489
228	2561	7504
229	2585	7532
230	2612	7565
231	2624	7558
232	2633	7539
233	2642	7521
234	2654	7510
235	2671	7515
236	2682	7504
237	2692	7489
238	2701	7471
239	2710	7453
240	2720	7439
241	2730	7422
242	2739	7406
243	2748	7389
244	2758	7373
245	2770	7366
246	2786	7367
247	2796	7351
248	2805	7335
249	2815	7320
250	2824	7303
251	2835	7292
252	2849	7287
253	2865	7288
254	2884	7296
255	2916	7336
256	2938	7353
257	2972	7397
258	3011	7453
259	3041	7487
260	3056	7483
261	3073	7483
262	3085	7474
263	3098	7463
264	3108	7449
265	3132	7465
266	3149	7467
267	3175	7487
268	3196	7498
269	3208	7486
270	3219	7472
271	3231	7461
272	3242	7447
273	3256	7439
274	3270	7433
275	3282	7420
276	3295	7411
277	3305	7394
278	3314	7377
279	3323	7358
280	3334	7344
281	3345	7331
282	3357	7318
283	3368	7306
284	3379	7293
285	3394	7286
286	3413	7291
287	3423	7274
288	3432	7257
289	3443	7243
290	3455	7231
291	3471	7228
292	3482	7213
293	3492	7198
294	3501	7181
295	3517	7176
296	3532	7171
297	3552	7176
298	3580	7196
299	3594	7189
300	3605	7174
301	3614	7156
302	3622	7138
303	3631	7119
304	3640	7101
305	3649	7084
306	3666	7082
307	3680	7074
308	3699	7075
309	3718	7076
310	3730	7065
311	3743	7054
312	3752	7037
313	3761	7019
314	3770	7002
315	3779	6984
316	3788	6966
317	3796	6948
318	3805	6930
319	3815	6915
320	3825	6901
321	3835	6884
322	3850	6878
323	3865	6872
324	3887	6877
325	3902	6870
326	3919	6867
327	3935	6863
328	3945	6847
329	3955	6831
330	3963	6813
331	3973	6797
332	3982	6780
333	3991	6763
334	4003	6751
335	4012	6735
336	4021	6719
337	4031	6702
338	4040	6685
339	4049	6669
340	4058	6652
341	4067	6636
342	4076	6620
343	4087	6606
344	4096	6590
345	4106	6574
346	4115	6559
347	4125	6544
348	4134	6528
349	4144	6512
350	4153	6495
351	4169	6490
352	4184	6484
353	4202	6481
354	4211	6466
355	4221	6450
356	4236	6444
357	4251	6436
358	4263	6425
359	4272	6409
360	4281	6393
361	4298	6387
362	4313	6380
363	4330	6377
364	4342	6365
365	4359	6360
366	4392	6378
367	4410	6375
368	4421	6362
369	4430	6346
370	4440	6331
371	4448	6314
372	4458	6299
373	4467	6283
374	4476	6266
375	4487	6254
376	4496	6238
377	4512	6232
378	4521	6215
379	4530	6200
380	4540	6185
381	4555	6176
382	4583	6187
383	4627	6218
384	4669	6245
385	4682	6235
386	4700	6230
387	4715	6222
388	4727	6209
389	4750	6212
390	4760	6196
391	4769	6180
392	4778	6164
393	4788	6149
394	4801	6138
395	4820	6135
396	4836	6127
397	4857	6126
398	4877	6124
399	4887	6109
400	4902	6100
401	4911	6084
402	4920	6067
403	4929	6051
404	4938	6036
405	4947	6020
406	4956	6004
407	4965	5987
408	4974	5971
409	4984	5957
410	4993	5941
411	5003	5926
412	5013	5912
413	5031	5906
414	5040	5890
415	5049	5874
416	5058	5859
417	5067	5843
418	5076	5827
419	5088	5815
420	5098	5801
421	5108	5785
422	5116	5770
423	5125	5754
424	5135	5739
425	5144	5724
426	5153	5709
427	5162	5693
428	5172	5678
429	5181	5663
430	5190	5648
431	5199	5632
432	5208	5617
433	5217	5602
434	5226	5587
435	5235	5571
436	5244	5556
437	5255	5543
438	5264	5527
439	5274	5514
440	5283	5499
441	5293	5484
442	5302	5469
443	5311	5455
444	5321	5440
445	5330	5425
446	5340	5412
447	5350	5397
448	5359	5383
449	5369	5369
450	5378	5354
451	5388	5341
452	5407	5335
453	5416	5321
454	5434	5314
455	5442	5299
456	5451	5284
457	5460	5270
458	5470	5256
459	5480	5242
460	5490	5228
461	5499	5213
462	5508	5199
463	5517	5184
464	5526	5169
465	5535	5155
466	5544	5140
467	5553	5126
468	5562	5111
469	5571	5097
470	5587	5089
471	5599	5077
472	5609	5063
473	5618	5049
474	5626	5034
475	5635	5020
476	5645	5006
477	5654	4991
478	5663	4977
479	5672	4963
480	5681	4949
481	5696	4940
482	5706	4926
483	5715	4912
484	5724	4898
485	5733	4884
486	5743	4870
487	5754	4857
488	5769	4849
489	5791	4845
490	5804	4835
491	5819	4826
492	5840	4821
493	5855	4812
494	5873	4805
495	5913	4816
496	5930	4809
497	5946	4800
498	5958	4788
499	5976	4781
500	6000	4778
501	6028	4779
502	6052	4776
503	6066	4766
504	6075	4752
505	6085	4738
506	6094	4724
507	6103	4709
508	6112	4695
509	6121	4680
510	6130	4666
511	6139	4652
512	6148	4638
513	6157	4624
514	6167	4610
515	6178	4597
516	6187	4583
517	6195	4569
518	6204	4555
519	6214	4541
520	6224	4528
521	6233	4514
522	6245	4502
523	6255	4488
524	6263	4474
525	6272	4460
526	6282	4446
527	6292	4433
528	6302	4420
529	6315	4408
530	6324	4395
531	6333	4381
532	6342	4367
533	6351	4353
534	6360	4339
535	6370	4325
536	6378	4311
537	6389	4299
538	6409	4292
539	6418	4279
540	6427	4265
541	6438	4252
542	6447	4238
543	6456	4225
544	6466	4211
545	6475	4198
546	6484	4184
547	6505	4178
548	6514	4165
549	6523	4151
550	6537	4140
551	6552	4131
552	6563	4118
553	6577	4108
554	6586	4094
555	6596	4080
556	6605	4067
557	6614	4054
558	6624	4040
559	6640	4031
560	6658	4023
561	6679	4017
562	6693	4006
563	6719	4003
564	6732	3992
565	6746	3981
566	6776	3980
567	6789	3968
568	6804	3958
569	6816	3946
570	6840	3941
571	6859	3933
572	6875	3923
573	6884	3910
574	6894	3896
575	6903	3883
576	6912	3869
577	6921	3856
578	6931	3842
579	6940	3829
580	6949	3815
581	6958	3802
582	6971	3790
583	6990	3782
584	6999	3769
585	7008	3755
586	7019	3742
587	7028	3729
588	7037	3715
589	7046	3702
590	7056	3689
591	7064	3675
592	7081	3665
593	7092	3653
594	7101	3640
595	7110	3626
596	7121	3614
597	7130	3601
598	7140	3587
599	7149	3574
600	7158	3561
601	7168	3548
602	7177	3535
603	7186	3521
604	7196	3508
605	7206	3496
606	7215	3482
607	7226	3470
608	7244	3461
609	7264	3453
610	7286	3446
611	7305	3437
612	7324	3429
613	7339	3418
614	7352	3407
615	7361	3393
616	7378	3384
617	7388	3371
618	7401	3360
619	7423	3352
620	7438	3341
621	7450	3329
622	7466	3319
623	7475	3306
624	7485	3293
625	7495	3280
626	7505	3268
627	7527	3260
628	7537	3247
629	7549	3235
630	7568	3226
631	7577	3213
632	7587	3200
633	7596	3187
634	7608	3175
635	7624	3164
636	7635	3152
637	7644	3139
638	7657	3127
639	7666	3114
640	7676	3101
641	7685	3088
642	7694	3075
643	7704	3062
644	7715	3050
645	7734	3041
646	7753	3032
647	7771	3022
648	7783	3010
649	7794	2997
650	7804	2985
651	7813	2971
652	7822	2959
653	7831	2945
654	7841	2932
655	7849	2919
656	7859	2906
657	7868	2893
658	7877	2880
659	7886	2867
660	7896	2855
661	7906	2842
662	7915	2829
663	7925	2816
664	7934	2803
665	7944	2791
666	7955	2778
667	7977	2770
668	8002	2763
669	8023	2754
670	8033	2741
671	8045	2729
672	8055	2716
673	8064	2704
674	8073	2691
675	8083	2678
676	8092	2665
677	8102	2652
678	8111	2640
679	8120	2627
680	8130	2614
681	8140	2602
682	8149	2589
683	8158	2576
684	8167	2563
685	8179	2551
686	8193	2540
687	8203	2527
688	8212	2514
689	8221	2502
690	8231	2489
